Tier,M&M,,,,,,,,,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,,OME 6-2016,OME Cardinality/Required?,OME Data type,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,Instrument,,,,,,,"This element describes the Instrument used to capture the Image. It is primarily a container referring to the list of hardware components included in a given Microscope. The list consists of the Microscope Stand, Microscope Table, Light Source, Light Source Coupling, Sample Holder, Focusing, Objective, Filter, Dichroic, Additional Lens (including a commonly used Magnification Changer, also known as Optovar), Additional Mirroring Device, Polarization Optics, Prism, Optical Aperture, Optical Device, Detector and Calibration Tool. The Filter element can be either composed of separate Excitation, Emission filters, and Dichroic mirrors or a single Filter Set. An Instrument might have multiple Light Sources, Detectors, Objectives, and Filters, etc. Each of these has its own ID attribute, which can be referred to from the Image, Plane or more commonly Channel elements associated with a given Image Acquisition session. It is understood that the Light Path configuration can be different for each Channel, but cannot be different for each timepoint or each Plane of an XYZ stack.",-,,                                                    ,,,,same,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
e,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,Filter-APE,,,,,,"This element describes an optical Filter positioned in the Light Path for one or more Channels available for this Instrument. An optical Filter is a device designed to selectively control the Wavelengths, color temperature, vibration direction, and/or intensity of the radiation which it transmits or reflects. An Instrument may have several Filters of different types, such as an Excitation, Emission, Neutral Density or an additional Generic Filter positioned in the Light Path for different purposes. For each fluorescence Image there should be at least one Filter element specified per Channel. This element can be associated with an optional Optics Holder, such as a Filter Cube, Filter Turret, Filtr Wheel, or Filter Slider. Note: Filter Holder is not the same as a Filter Set.",-,,Manufacturer Specs,1 ... ∞,,,same (became an APE and got specialized),1 ... ∞,-,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,,was Serial Number,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,ID,,,,,A Unique Identifier for this component.,FIlterID,,,R,,,same,R,LSID,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Type,,,,,This field captures the Type of Filter used in this case.,enum,"Bandpass, BandStop, Multipass, Notch, Longpass, ShortPass, Other",FilterType,R,,,same,,enum,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,FilterHolderPosition,,,,,"This field records the position of this element in a Filter Holder of any kind, such as a Filter Slider, Turret or Wheel.",integer with unit:none,,,,,,was FilterWheel,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,CoatingMethod,,,,,"This field records the type of Coating used in this case. An optical coating is one or more thin layers of material deposited on an optical component such as a Lens, Filter or Mirror, which alters the way in which the optic reflects and transmits light.",enum,"HardCoated, SoftCoated, Other",CoatingMethod,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,LightPathLocation,,,,,"This field records the location of this component in the Microscope Light Path. The most common positions are: Infinity Space, Camera Port or Illumination Port.",enum,"Infinity space, Camera Port, Illumination port, Other",,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,Technology,,,,,"This field records the filtering Technology utilized for this optical element. The main types of technologies used in fluorescence analysis are Absorption (aka colored) glass, Polymer or Thin-film coating.",enum,"Absorption Colored Glass, Metallic-coating, Polymer-Based, Thin-film interference-coating,  Other
",FilterTechnologyType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,AttenuationMethod,,,,,This field records the mean by which this optical element achieves out-of-band transmission attenuation.,enum,"Absorption, Reflection, Refraction, Other",AttenuationMethodType,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,AttenuationCoefficient,,,,,"This field records the Attenuation Coefficient (AC) of this optical element. The AC (aka blocking coefficient) is a material property that characterizes the degree to which light is being blocked (i.e., scattered or absorbed) by it. AC is used as a measure of the out-of-band blocking of an optical Lens, Filter, Dichroic mirror over an extended range of the spectrum. AC is often reported in units of optical density (OD), whereas OD= -log10(T), and T=Transmittance (0≤T≤1).",float with unit:none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Diameter,,,,,This field describes the Diameter of this optical element.,float with unit:DiameterUnit [default mm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Thickness,,,,,This field describes the Thickness of this optical element.,float with unit:ThicknessUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,AngleOfIncidence,,,,,"This field records the optimal angle of incidence (AOI) for this Filter. The AOI is the angle between the optical axis of the incident light and the axis normal to the surface of the Mirror. In specular reflection, AOI is by definition equal to the Angle Of Reflection (AOR).",float with unit:AngleOfIncidenceUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Polarization,,,,,"This field records the polarization effect of this optical element. Any thin-film interference Coating that is used at non-normal angles-of-incidence will cause some amount of polarization, the precise effect varying greatly with wavelength and with the particular Coating design.",enum,"Circular, Elliptical, Planar, Other",FilterPolarizationType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,,same,,Extension of Reference,,,,,,,,,,,,,,,,,,,,,,,,,
e,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,TransmittanceRange,,,,,This element records the Range (also known as Band) of Wavelengths that are transmitted by this optical component. It also records the maximum amount of light transmitted. Multiple of these elements can be used.,Element,,,1 ... ∞,,,same,0 ... 1,Element,,,,,,,,,,,,,,,,,,,,,,,,,
