Tier,M&M,,,,,,,,,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,,OME 6-2016,OME Cardinality/Required?,OME Data type,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,Instrument,,,,,,,"This element describes the Instrument used to capture the Image. It is primarily a container referring to the list of hardware components included in a given Microscope. The list consists of the Microscope Stand, Microscope Table, Light Source, Light Source Coupling, Sample Holder, Focusing, Objective, Filter, Dichroic, Additional Lens (including a commonly used Magnification Changer, also known as Optovar), Additional Mirroring Device, Polarization Optics, Prism, Optical Aperture, Optical Device, Detector and Calibration Tool. The Filter element can be either composed of separate Excitation, Emission filters, and Dichroic mirrors or a single Filter Set. An Instrument might have multiple Light Sources, Detectors, Objectives, and Filters, etc. Each of these has its own ID attribute, which can be referred to from the Image, Plane or more commonly Channel elements associated with a given Image Acquisition session. It is understood that the Light Path configuration can be different for each Channel, but cannot be different for each timepoint or each Plane of an XYZ stack.",-,,                                                    ,,,,same,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,MirroringDevice-APE,,,,,,"This element describes a Mirror positioned in the Ligth Path for one or more Channels available for this Instrument. An Instrument may have several Mirrors of different types, such as Dichroic, Beamsplitter or Reflector. This element can be associated with an optional Optics Holder, such as a Filter Cube, Filter Turret, Filtr Wheel, or Filter Slider.",Substitution : choose one child from the list below,"Dichroic, Beamsplitter, Reflector",Substitution : choose one child from the list below,1 ... ∞,,,was Dichroic element,,Element,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,,was Serial Number,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,ID,,,,,A Unique Identifier for this component.,MirrorID,,,R,,,same,R,LDIS,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,OpticsHolderPosition,,,,,"This field records the position of this Mirroring Device in a Optics Holder of any kind, such as a Slider, Turret or Wheel.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,MirrorType,,,,,This field records the general category of this Mirror.,enum,"Convex, Concave, Planar, Other",MirrorType,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Geometry,,,,,This field records the geometrical shape of the surface(s) of this Mirror.,enum,"Aspherical, Cylindrical, Ellipsoidal, Hyeprboloidal, Paraboloidal, Spherical, Other",MirrorGeometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Diameter,,,,,This field describes the Diameter of this optical element.,float with unit:DiameterUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,RadiusOfCurvature,,,,,The radius of curvature of this Mirror. A spherical lens or Mirror surface has a center of curvature located either along or decentered from the system local optical axis. The vertex of the lens surface is located on the local optical axis. The distance from the vertex to the center of curvature is the radius of curvature of the surface.,float with unit:RadiusOfCurvatureUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,AngleOfIncidence,,,,,This field records the optimal angle of incidence (AOI) for this Mirror. The AOI is the angle between the optical axis of the incident light and the axis normal to the surface of the Mirror. In specular reflection AOI is by definition equal to the Angle Of Reflection (AOR).,float with unit:AngleOfIncidenceUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,SubstrateType,,,,,This field records the type of Substrate that is used for this Mirror. It is typically a ground and polished piece of optical glass.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,SubstrateMaterial,,,,,"This field records the chemical composition or the designation of the substrate of this Mirroring Device. The substrate is typically composed of a glass material with low autofluorescence, such as UV-grade fused silica or Borofloat.",enum,"alpha-Barium Borate, Barium Crown (BAK/N-BAK), Barium Flint (BAF/N-BAF), Barium Heavy Flint (BASF/N-BASF), Barium Light Flint (BALF/N-BALF), Borofloat, Boron Crown (BK/N-BK), Borosilicate, Calcite, Calcium Fluoride (CaF2), Crown (K/N-K), Crown Flint (KF/N-NK), Crystal Quartz, Dense Crown (SK/N-SK), Dense Flint (SF/N-SF), Extra Dense Crown (SSK/N-SSK), Extra Ligh Flint (LLF), Flint (F/N-F), Fluorine Crown (FK/N-FK), Germanium, Lanthanum Crown (LAK/N-LAK), Lanthanum Dense Flint (LASF/N-LASF), Lanthanum Flint (LAFN/N-LAF), Light Flint (LF), Magnesium Fluoride (MgF2), Phosphate Crown (PK/N-PK), Phosphate Dense (PSK/N-PSK), Polytetrafluoroethylene (PFTE), Pyrex, Rutile (TiO2), Short Flint Special (KZFS/N-KZFS), Silicon (Si), UV-Grade Fused Silica (UVFS), Yttrium Orthovanadate (YVO4), Zerodur (Lithium Aluminum Silicon Oxide), Zinc Crown (ZK/N-ZK), Zinc Selenide (ZnSe), Other",OpticalMaterialName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,GlassCode,,,,,"If available, this field records the international Glass Code of the material that constitutes this Mirror. The Glass Code designation is based on U.S. military standard MIL-G-174, and it consists of a six-digit number specifying the glass according to its Refractive Index nd at the Fraunhofer d- (or D3-) line, and its Abbe Number Vd also taken at that line. The resulting Glass Code is the value of nd-1 rounded to three digits, followed by Vd rounded to three digits, with all decimal points ignored. For example, BK7 has nd = 1.5168 and Vd = 64.17, giving a six-digit Glass Code of 517642.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,,same,,Extension of Reference,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",Dichroic-APE,,,,"A Dichroic Mirror (also often referred to as Dichroic Beamsplitter, Dichromatic Mirror or Dichroic) is a Mirror that spectrally separate light by transmitting and reflecting light as a function of wavelength. In the context of fluorescence microscopy, they are typically used to reflect the excitation light, but transmit the emitted fluorescence. Dichroic Mirrors can be categorized in different manners. However, the most important criteria for choosing a Dichoric Mirror are the Transmittance and the Reflectance Wavelength ranges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,,,Type,,,This field captures the Type of Dichroic used in this case.,enum,"Bandpass, BandStop, Multipass, Notch, Longpass, ShortPass, Other",FilterType,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,,,CoatingMethod,,,"This field records the type of Coating used in this case. An optical coating is one or more thin layers of material deposited on an optical component such as a Lens, Filter or Mirror, which alters the way in which the optic reflects and transmits light.",enum,"HardCoated, SoftCoated, Other",CoatingMethod,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,,,LightPathLocation,,,"This field records the location of this component in the Microscope Light Path. The most common positions are: Infinity Space, Camera Port or Illumination Port.",enum,"Infinity space, Camera Port, Illumination port, Other",LightPathLocationOptions,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Technology,,,"This field records the filtering Technology utilized for this optical element. The main types of technologies used in fluorescence analysis are Absorption (aka colored) glass, Polymer or Thin-film coating.",enum,"Absorption Colored Glass, Metallic-coating, Polymer-Based, Thin-film interference-coating,  Other
",FilterTechnologyType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,AttenuationMethod,,,This field records the mean by which this optical element achieves out-of-band transmission attenuation.,enum,"Absorption, Reflection, Refraction, Other",AttenuationMethodType,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,AttenuationCoefficient,,,"This field records the Attenuation Coefficient (AC) of this optical element. The AC (aka blocking coefficient) is a material property that characterizes the degree to which light is being blocked (i.e., scattered or absorbed) by it. AC is used as a measure of the out-of-band blocking of an optical Lens, Filter, Dichroic mirror over an extended range of the spectrum. AC is often reported in units of optical density (OD), whereas OD= -log10(T), and T=Transmittance (0≤T≤1).",float with unit:none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,Thickness,,,This field describes the Thickness of this optical element.,float with unit:ThicknessUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,Polarization,,,"This field records the polarization effect of this optical element. Any thin-film interference coating that is used at non-normal angles-of-incidence will cause some amount of polarization, the precise effect varying greatly with wavelength and with the particular coating design.",enum,"Circular, Elliptical, Planar, Other",FilterPolarizationType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,,,TransmittanceRange,,,This element records the Range (also known as Band) of Wavelengths that are transmitted by this optical component. It also records the maximum amount of light transmitted. Multiple of these elements can be used.,Element,,,1 … ∞,,,same,0 ... 1,Element,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,,,,Wavelength,,"This field records the key Wavelength] that characterizes this Transmittance Range (also known as Transmission band). In the case of Bandpass, Bandstop, Multipass or Notch Filters, Wavelength often refers to the Central Wavelength of each of the transmission band(s); alternatively, in case of a Longpass or a Shortpass Filters, Wavelength refers to the CutOn Wavelength (i.e., below which there is less than 50% transmittance) or the CutOff Wavelengths (i.e., above which there is less than 50% transmittance) respectively. In the case of Dichroics, Wavelength most commonly refers to the Edge Wavelength which might be either the CutOn or the CutOff Wavelength depending on individual cases.",positiveFloat with unit:WavelengthUnit,,,R,,,was CutIn,,,,,,,,,,,,,,,,,,,,,,,,,,,
