Tier,M&M,,,,,,,,,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,,OME 6-2016,OME Cardinality/Required?,OME Data type,,,"Name, Lastname, email",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,Instrument,,,,,,,"This element describes the Instrument used to capture the Image. It is primarily a container referring to the list of hardware components included in a given Microscope. The list consists of the Microscope Stand, Microscope Table, Light Source, Light Source Coupling, Sample Holder, Focusing, Objective, Filter, Dichroic, Additional Lens (including a commonly used Magnification Changer, also known as Optovar), Additional Mirroring Device, Polarization Optics, Prism, Optical Aperture, Optical Device, Detector and Calibration Tool. The Filter element can be either composed of separate Excitation, Emission filters, and Dichroic mirrors or a single Filter Set. An Instrument might have multiple Light Sources, Detectors, Objectives, and Filters, etc. Each of these has its own ID attribute, which can be referred to from the Image, Plane or more commonly Channel elements associated with a given Image Acquisition session. It is understood that the Light Path configuration can be different for each Channel, but cannot be different for each timepoint or each Plane of an XYZ stack.",-,,                                                    ,,,,same,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
e,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,Objective,,,,,,"The Microscope's Objective lens consists of a lens, its mount, and any associated parts. It is the part of the imaging system, which forms a primary image of the object, either alone or in conjunction with a tube lens. The Objective typically consists of a compound lens consisting of several simple lenses (elements), usually arranged along a common axis.",-,,Manufacturer Specs,1 ... ∞,,,same,0 ... ∞,-,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,,was Serial Number,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,,same,,string,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed in the main NBO_MicroscopyMetadataSpecifications_ALL_v02-10.xlsx document (https://github.com/WU-BIMAC/NBOMicroscopyMetadataSpecs/blob/master/Model/in%20progress/v02-10/NBO_MicroscopyMetadataSpecifications_ALL_v02-10.xlsx),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,,same,R,LSID,,,Comment or Suggested Change about this Element or Field,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Magnification,,,,,"This field captures the Magnification of the Objective as specified by the Manufacturer - i.e., 60 represents a 60X lens.",float with unit:none,, ,R,,,was NominalMagnification,,float,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,LensNA,,,,,"This field captures the nominal Numerical Aperture (NA) of this Objective as specified by the Manufactuer, expressed as a floating-point (real) number (e.g. 1.27 NA). NA is a number that was defined initially by Abbe to characterize Objectives and Condensers. NA can be calculated by the expression n sin alpha, where n is the Refractive Index of the medium between the Lens and the Sample, and alpha is half the Angular Aperture of the Lens. NA is a measure of how much of the illumination that leaves the specimen actually passes through the Lens. The larger the NA, the more information the lens can transmit. Expected range 0.02 - 1.5.",float with unit:none,,,R,,,same,,float,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,Correction,,,,,"This field captures the type of optical correction (i.e. chromatic correction, or flatness correction, etc.) associated with this Objective.",enum,"Achro, Achromat, Achroplan, Acroplan, Apo, Apochromat, C-Achroplan, EF, Fl, Fluar, Fluor, Fluotar, Lambda, N, Neofluar, NPL, Pl, Plan, Plano, PlanApo, PlanApochromat, PlanFluor, PlanNeofluar, SuperFluor, UPLAN, UPlanApo, UPlanFl, UV, VioletCorrected, Other",ObjectiveCorrection,R,,,same,,enum,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,ImmersionType,,,,,"According to ISO 10934-1:2002, an Immersion Liquid is a liquid (commonly immersion oil, water or glycerol) specified as suitable for use in the space between the front of an immersion lens and the object NOTE Because the immersion liquid is considered in the computing of corrections to be part of the lens, its refractive index and dispersion (or Abbe number) are critical. Please refer to ISO 8036-1 for more details on Immersion Oil. This field describes the general category of the Immersion Liquid this Objective is designed for, according to the Manufacturer. If the general category is not ""Air"", the actual Immersion Liquid that was used during the Acquisition of a specific Image must be specified in Objective Settings.",enum,"Air, Dipping, Glycerol, Multi, Mineral Oil, Silicone Oil, Water, Other",ImmersionTypeList,,,,was Immersion,,enum,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,WorkingDistance,,,,,"This field reports the Working Distance of this Objective under normal operating conditions. The Working Distance is the distance (in air, or in the specified immersion liquid) between the front of an Objective and the surface of the cover glass or of the specimen if uncovered.",float with unit:OpticalDistanceUnit; [default mm],,,R,,,same,,float,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,Iris,,,,,"This field records whether (True) or not (False) the Objective was fitted with an Iris. Manufacturers offer high NA Objectives, which are equipped with an internal Iris Diaphragm that increases image contrast during digital imaging to compensate for image flare artifacts due to light emitted from areas outside the focal plane. Opening or closing the Iris Diaphragm determines the size of the Objective rear aperture yielding a variable NA range between 0.5 and the Objective's upper limit.",boolean,,,R,,,same,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,CalibratedMagnification,,,,,"This field captures the Magnification of the Objective as measured via a calibration process- i.e., '59.987' for a 60x lens.",float with unit:none,,,,,,same,,float,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,,same,,Extension of Reference,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,InfinityCorrected,,,,,This field records whether (True) or not (False) this Objective is infinity corrected. An Infinity-corrected Objective is corrected for an infinite sample to primary image distance and needs to be used with a Tube Lens of appropriate focal length to obtains its nominal magnification.,boolean,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,ContrastModulation,,,,,"This field specifies the presence in this Objective of a contrast modulation plate, such as a Phase Ring (Ph1, Ph2, Ph3), a Hoffman modulator, a Varel modulator, or similar.",enum,"None, Ph1, Ph2, Ph3, Hoffman, VAREL, Other",ContrastModulationPlate,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,DIC,,,,,This field specifies whether (True) the Objective is designed for Differential Interference Contrast (DIC) or not (False). DIC is a contrast modality due to double-beam interference in which two waves that fall on the object plane or image plane are separated laterally by a distance similar to the minimum resolvable distance.,boolean,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y,,,,LightType,,,,,"This field specifies whether this Objective is designed for a special Light application (e.g., IR or UV).",enum,"Infrared, Ultraviolet, Visible",ObjectiveLightType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,CorrectionCollar,,,,,"This field records whether (True) or not (False) the Objective was fitted with a Correction Collar. When using high NA dry Objectives (NA 0.8 or greater), cover glass thickness variations of only a few micrometers, immersion medium, and temperature changes result in dramatic image degradation due to aberration. To compensate for these errors, the more highly corrected Objectives are equipped with a Correction Collar mechanism, which is provided to adjust the central lens group position to compensate for deviations from correct optical path length due to changes in Cover Glass Thickness, the nature of the Immersion Liquid, different Numerical Apertures, and Temperature.",boolean,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,CorrectionCollarType,,,,,"This field records the type of Correction Collar with which this Objective is fitted. In case the Objective has more than one Correction Collar please enter ""Multi"" and provide more details in Description.",enum,"Coverglass Thickness, Immersion Liquid, Numerical Aperture, Temperature, Multi",CorrectionCollarTypeList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,DippingMedium,,,,,"In case the Immersion Type for this Objective is designated as ""Dipping"", this field captures the type of Dipping Medium this Objective is compatible with. Examples include, water-based (biological buffers, culture media, other water-based solutions) organic-based [FocusClear (CLARITY); CUBIC-1, CUBIC-2, CUBIC-R1, CUBIC-R2; 2,2-thiodiethanol (TDE); ethyl cinnamate; Benzyl Benzoate and BB-PEG (PEGASOS); Benzyl Alcohol, Benzyl Benzoate (BABB); dibenzyl ether (DBE); 100% Ethanol].",enum,"Orgnic-based, Water-based, Other
",DippingType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,PhaseContrastDesignation,,,,,"If the Objective is designed for Phase, this field specifies the Phase Contrast designation of the Phase Plate found in this Objective (see: https://www.microscopyu.com/techniques/phase-contrast/phase-contrast-Microscope-configuration). This designation has to match the Phase Number of the Phase Ring associated with the front focal plane of the Condenser.",enum,"Phase, PHACO, PC, PhL, Ph1, Ph2, Ph3, Ph4, DL, DLL, DM, ADL, PL, PLL, PM, PH, NL, NM, BM, NH",PhaseContrastDesignationType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ObjectiveViewField,,,,,"This field records the maximal diameter of the view field allowed by this Objective, expressed in mm, and measured at the intermediate image plane. NB: The field of view is influenced by the magnification and diameter of the ocular (eyepiece) field diaphragm, but also by the limits imposed by the design of the Objective.",float with unit:none,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ImageDistance,,,,,This field records the distance in air between the rear principal plane of this Objective and the primary Image plane.,float with unit:OpticalDistanceUnit; [default mm],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,FrontFocalLength,,,,,This field records the distance (f) measured along the optical axis from the front principal plane of this Lens to the front focal plane (F).,float with unit:OpticalDistanceUnit; [default mm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,BackFocalLength,,,,,This field records the distance (f') measured along the optical axis from the rear principal plane of this Lens to the rear focal plane (F').,float with unit:OpticalDistanceUnit[default mm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ParfocalizingDistance,,,,,This field records the distance between the mounting plane of this Objective and the specimen plane.,float with unit:OpticalDistanceUnit; [default mm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
